FEC ID,STATE,DISTRICT,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,PRIMARY RESULTS,PRIMARY %,RUNOFF RESULTS,RUNOFF %,GENERAL RESULTS,GENERAL %,GENERAL RUNOFF RESULTS,GENERAL RUNOFF %,INCUMBENT INDICATOR,NOTES (See Endnotes Page)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,AL,,,,,,,,,,,,,,,,
S6AL00195,AL,S,Jeff,Sessions,"Sessions, Jeff",,R,Unopposed,,,,792561,58.5770530138808%,,,(I),
S2AL00079,AL,S,Susan,Parker,"Parker, Susan",,D,190978,47.9941897722903%,176582,65.1123172908155%,538878,39.8277043331858%,,,,
S2AL00061,AL,S,Julian,McPhillips,"McPhillips, Julian",,D,170222,42.778052819795%,94614,34.8876827091845%,,,,,,
S2AL00087,AL,S,Wayne,Sowell,"Sowell, Wayne",,D,36719,9.22775740791468%,,,,,,,,
,AL,S,, , ,Total Party Votes:,D,397919, ,271196,,,,,,,
S2AL00103,AL,S,Jeff ,Allen,"Allen, Jeff ",,LBT,,,,,20234,1.49546607855151%,,,,
,AL,S,,Scattered,Scattered ,,W,,,,,1350,0.099776574381958%,,,,
,AL,S,,, ,Total State Votes:,,397919,,271196,,1353023,,,,,
H2AL01077,AL,01,Jo,Bonner,"Bonner, Jo",,R,29857,40.2624197637413%,32421,62.4417395323755%,108102,60.4979657165882%,,,,
H2AL01051,AL,01,Tom,Young,"Young, Tom",,R,15087,20.3449484869734%,19501,37.5582604676245%,,,,,,
H2AL01069,AL,01,David,Whetstone,"Whetstone, David",,R,10997,14.8295485193376%,,,,,,,,
H2AL00012,AL,01,Albert,Lipscomb,"Lipscomb, Albert",,R,7429,10.0180700145639%,,,,,,,,
H2AL01085,AL,01,Chris,Pringle,"Pringle, Chris",,R,6001,8.09239980581477%,,,,,,,,
H2AL01093,AL,01,Rusty,Glover,"Glover, Rusty",,R,4374,5.89837639570635%,,,,,,,,
H2AL01168,AL,01,Joe J.,Gottler,"Gottler, Joe J.",,R,411,0.554237013862668%,,,,,,,,
,AL,01,,, ,Total Party Votes:,R,74156,,51922,,,,,,,
H2AL01119,AL,01,Judy McCain,Belk,"Belk, Judy McCain",,D,14213,36.0059786188377%,13007,58.4295404519114%,67507,37.7794691275806%,,,,
H2AL01150,AL,01,J. Don,Foster,"Foster, J. Don",,D,9766,24.7403354106501%,9254,41.5704595480886%,,,,,,
H2AL01101,AL,01,James O.,Gordon,"Gordon, James O.",,D,8128,20.5907686071845%,,,,,,,,
H2AL01127,AL,01,Don,Chamberlain,"Chamberlain, Don",,D,3774,9.56072351421189%, ,,,,,,,
H2AL01135,AL,01,Buzz,Jordan,"Jordan, Buzz",,D,3593,9.10219384911587%,,,,,,,,
,AL,01,,,   ,Total Party Votes:,D,39474,,22261,,,,,,,
H0AL01022,AL,01,Dick,Coffee,"Coffee, Dick",,LBT,,,,,2957,1.65484898173902%,,,,
