1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),Candidate Name (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF,GE RUNOFF %,"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",FOOTNOTES
2,Alabama,AL,01,H2AL01077,(I),Jo,Bonner,"Bonner, Jo",,R,Unopposed,,,,210660,98.2707226392122%,,,,,
3,Alabama,AL,01,n/a,,,Scattered,Scattered,,W,,,,,3707,1.72927736078781%,,,,,
4,Alabama,AL,01,H8AL01058,,Thomas E.,Fuller,"Fuller, Thomas E. #",,D,Unopposed,,,,#,,,,,,# Thomas Fuller withdrew after the primary election.
5,Alabama,AL,01,n/a,,,,,District Votes:,,n/a,,,,214367,,,,,,
6,Alabama,AL,02,H8AL02130,,Bobby,Bright,"Bright, Bobby",,D,19456,66.6369832517039%,,,144368,50.2334773864451%,,,,,
7,Alabama,AL,02,H8AL02155,,Cendie,Crawley,"Crawley, Cendie",,D,5110,17.5017981299449%,,,,,,,,,
8,Alabama,AL,02,H8AL02148,,Cheryl,Sabel,"Sabel, Cheryl",,D,4631,15.8612186183512%,,,,,,,,,
9,Alabama,AL,02,n/a,,,,,Party Votes:,D,29197,,,,,,,,,,
10,Alabama,AL,02,H8AL02080,,Jay,Love,"Love, Jay",,R,20131,35.482506389354%,24725,53.1126482213439%,142578,49.6106390530074%,,,,,
11,Alabama,AL,02,H8AL02106,,Harri Anne,Smith,"Smith, Harri Anne",,R,12349,21.766105578567%,21827,46.8873517786561%,,,,,,,
12,Alabama,AL,02,H8AL02122,,Craig D.,Schmidtke,"Schmidtke, Craig D.",,R,11350,20.0052877412532%,,,,,,,,,
13,Alabama,AL,02,H4AL02048,,David,Woods,"Woods, David",,R,9757,17.1974971358068%,,,,,,,,,
14,Alabama,AL,02,H8AL02114,,David,Grimes,"Grimes, David",,R,2324,4.09623689080814%,,,,,,,,,
15,Alabama,AL,02,H8AL02098,,John W.,Martin,"Martin, John W.",,R,824,1.4523662642108%,,,,,,,,,
16,Alabama,AL,02,n/a,,,,,Party Votes:,R,56735,,46552,,,,,,,,
17,Alabama,AL,02,n/a,,,Scattered,Scattered,,W,,,,,448,0.155883560547541%,,,,,
18,Alabama,AL,02,n/a,,,,,District Votes:,,85932,,46552,,287394,,,,,,
19,Alabama,AL,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,Unopposed,,,,142708,54.0315008329547%,,,,,
20,Alabama,AL,03,H8AL03047,,Joshua,Segall,"Segall, Joshua",,D,Unopposed,,,,121080,45.842798727851%,,,,,
21,Alabama,AL,03,n/a,,,Scattered,Scattered,,W,,,,,332,0.125700439194306%,,,,,
22,Alabama,AL,03,n/a,,,,,District Votes:,,,,,,264120,,,,,,
23,Alabama,AL,04,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,Unopposed,,,,196741,74.7589933388305%,,,,,
24,Alabama,AL,04,H8AL04052,,Nicholas B.,Sparks,"Sparks, Nicholas B.",,D,15777,58.0933794830253%,,,66077,25.1083912496628%,,,,,
25,Alabama,AL,04,H8AL04045,,Greg,Warren,"Warren, Greg",,D,11381,41.9066205169747%,,,,,,,,,
26,Alabama,AL,04,n/a,,,,,Party Votes:,D,27158,,,,,,,,,,
27,Alabama,AL,04,n/a,,,Scattered,Scattered,,W,,,,,349,0.132615411506762%,,,,,
28,Alabama,AL,04,n/a,,,,,District Votes:,,27158,,,,263167,,,,,,
