1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,
2,Alabama,AL,01,H2AL01077,(I),Jo,Bonner,"Bonner, Jo",,REP,56937,75.251777642674%,,,129063,82.5839353472271%,,,,
3,Alabama,AL,01,H0AL01030,,Peter,Gounares,"Gounares, Peter",,REP,18725,24.748222357326%,,,,,,,,
4,Alabama,AL,01,n/a,,,,,Party Votes:,REP,75662,,,,,,,,,
5,Alabama,AL,01,H0AL01048,,David,Walter,"Walter, David",,CPA,,,,,26357,16.8651339574229%,,,,
6,Alabama,AL,01,n/a,,,Scattered,Scattered,,W,,,,,861,0.550930695350043%,,,,
7,Alabama,AL,01,n/a,,,,,District Votes:,,75662,,,,156281,,,,,
8,Alabama,AL,,n/a,,,,,,,,,,,,,,,,
9,Alabama,AL,02,H0AL02087,,Martha,Roby,"Roby, Martha",,REP,36295,48.5525858148059%,39169,60.0199203187251%,111645,50.9729349672188%,,,,
10,Alabama,AL,02,H0AL02103,,Rick,Barber,"Barber, Rick",,REP,21313,28.5108489177837%,26091,39.9800796812749%,,,,,,
11,Alabama,AL,02,H0AL02111,,Stephanie,Bell,"Bell, Stephanie",,REP,13797,18.4565374428124%,,,,,,,,
12,Alabama,AL,02,H0AL02129,,"John Beau, III",McKinney,"McKinney, John Beau, III",,REP,3349,4.48002782459801%,,,,,,,,
13,Alabama,AL,02,n/a,,,,,Party Votes:,REP,74754,,65260,,,,,,,
14,Alabama,AL,02,H8AL02130,(I),Bobby,Bright,"Bright, Bobby",,DEM,Unopposed,,,,106865,48.7905655897876%,,,,
15,Alabama,AL,02,n/a,,,Scattered,Scattered,,W,,,,,518,0.23649944299359%,,,,
16,Alabama,AL,02,n/a,,,,,District Votes:,,74754,,65260,,219028,,,,,
17,Alabama,AL,,n/a,,,,,,,,,,,,,,,,
18,Alabama,AL,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,REP,Unopposed,,,,117736,59.4209115822731%,,,,
19,Alabama,AL,03,H0AL03184,,Steve,Segrest,"Segrest, Steve",,DEM,Unopposed,,,,80204,40.4786538743004%,,,,
20,Alabama,AL,03,n/a,,,Scattered,Scattered,,W,,,,,199,0.100434543426584%,,,,
21,Alabama,AL,03,n/a,,,,,District Votes:,,,,,,198139,,,,,
22,Alabama,AL,,n/a,,,,,,,,,,,,,,,,
23,Alabama,AL,04,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,REP,Unopposed,,,,167714,98.8174710259779%,,,,
24,Alabama,AL,04,n/a,,,Scattered,Scattered,,W,,,,,2007,1.18252897402207%,,,,
25,Alabama,AL,04,n/a,,,,,District Votes:,,,,,,169721,,,,,
26,Alabama,AL,,n/a,,,,,,,,,,,,,,,,
27,Alabama,AL,05,H0AL05163,,Mo,Brooks,"Brooks, Mo",,REP,35746,50.8073227585423%,,,131109,57.887323943662%,,,,
28,Alabama,AL,05,H8AL05109,(I),Parker,Griffith,"Griffith, Parker",,REP,23525,33.4370913639206%,,,,,,,,
29,Alabama,AL,05,H0AL05155,,Les,Phillip,"Phillip, Les",,REP,11085,15.7555858775371%,,,,,,,,
30,Alabama,AL,05,n/a,,,,,Party Votes:,REP,70356,,,,,,,,,
31,Alabama,AL,05,H0AL05197,,Steve,Raby,"Raby, Steve",,DEM,27814,61.6663710535651%,,,95192,42.0292286635172%,,,,
32,Alabama,AL,05,H0AL05189,,Taze,Shepard,"Shepard, Taze",,DEM,10262,22.7518623625399%,,,,,,,,
33,Alabama,AL,05,H0AL05171,,Mitchell J.,Howie,"Howie, Mitchell J.",,DEM,5277,11.699627527492%,,,,,,,,
34,Alabama,AL,05,H8AL05117,,David J.,Maker,"Maker, David J.",,DEM,1751,3.88213905640298%,,,,,,,,
35,Alabama,AL,05,n/a,,,,,Party Votes:,DEM,45104,,,,,,,,,
36,Alabama,AL,05,n/a,,,Scattered,Scattered,,W,,,,,189,0.0834473928208751%,,,,
37,Alabama,AL,05,n/a,,,,,District Votes:,,115460,,,,226490,,,,,
38,Alabama,AL,,n/a,,,,,,,,,,,,,,,,
39,Alabama,AL,06,H2AL06035,(I),Spencer,Bachus,"Bachus, Spencer",,REP,80725,75.6404490170724%,,,205288,98.0531514491508%,,,,
40,Alabama,AL,06,H0AL06088,,Stan,Cooke,"Cooke, Stan",,REP,25997,24.3595509829276%,,,,,,,,
41,Alabama,AL,06,n/a,,,,,Party Votes:,REP,106722,,,,,,,,,
42,Alabama,AL,06,n/a,,,Scattered,Scattered,,W,,,,,4076,1.94684855084924%,,,,
43,Alabama,AL,06,n/a,,,,,District Votes:,,106722,,,,209364,,,,,
44,Alabama,AL,,n/a,,,,,,,,,,,,,,,,
45,Alabama,AL,07,H0AL07086,,Terri A.,Sewell,"Sewell, Terri A.",,DEM,31531,36.8034642948853%,32366,55.0002548982956%,136696,72.4316992009495%,,,,
46,Alabama,AL,07,H0AL07102,,Shelia,Smoot,"Smoot, Shelia",,DEM,24490,28.585101664449%,26481,44.9997451017044%,,,,,,
47,Alabama,AL,07,H0AL07094,,"Earl, Jr.",Hilliard,"Hilliard, Earl, Jr.",,DEM,22981,26.8237738403716%,,,,,,,,
48,Alabama,AL,07,H0AL00016,,Martha,Bozeman,"Bozeman, Martha",,DEM,6672,7.78766020029414%,,,,,,,,
49,Alabama,AL,07,n/a,,,,,Party Votes:,DEM,85674,,58847,,,,,,,
50,Alabama,AL,07,H0AL07177,,Don,Chamberlain,"Chamberlain, Don",,REP,6166,37.5838108009265%,11783,55.7590384251372%,51890,27.4951781437443%,,,,
51,Alabama,AL,07,H0AL07185,,Chris,Salter,"Salter, Chris",,REP,4826,29.416067292454%,9349,44.2409615748628%,,,,,,
52,Alabama,AL,07,H0AL07144,,Michele,Waller,"Waller, Michele",,REP,2804,17.0913080580276%,,,,,,,,
53,Alabama,AL,07,H0AL07169,,Carol F.,Hendrickson,"Hendrickson, Carol F.",,REP,2610,15.908813848592%,,,,,,,,
54,Alabama,AL,07,n/a,,,,,Party Votes:,REP,16406,,21132,,,,,,,
55,Alabama,AL,07,n/a,,,Scattered,Scattered,,W,,,,,138,0.0731226553061614%,,,,
56,Alabama,AL,07,n/a,,,,,District Votes:,,102080,,79979,,188724,,,,,
57,Alabama,AL,,n/a,,,,,,,,,,,,,,,,
58,Alabama,AL,H,n/a,,,,,Total State Votes:,,474678,,145239,,1367747,,,,,
