1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
2,,,,n/a,,,,,,,,,,,,,,,,,,
3,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
4,AL,Alabama,01,H4AL01123,(I),Bradley,Byrne,"Byrne, Bradley",,R,71310,60.1117770528286%,,,208083,96.3824672407165%,,,,,W,
5,AL,Alabama,01,H6AL01060,,Dean,Young,"Young, Dean",,R,47319,39.8882229471714%,,,,,,,,,,
6,AL,Alabama,01,n/a,,,,,Party Votes:,R,118629,,,,,,,,,,,
7,AL,Alabama,01,n/a,,,Scattered,Scattered,,W,,,,,7810,3.61753275928353%,,,,,,
8,AL,Alabama,01,n/a,,,,,District Votes:,,118629,,,,215893,,,,,,,
9,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
10,AL,Alabama,02,H0AL02087,(I),Martha,Roby,"Roby, Martha",,R,78689,66.3706140350877%,,,134886,48.7685477106413%,,,,,W,
11,AL,Alabama,02,H6AL02142,,Becky,Gerritson,"Gerritson, Becky",,R,33015,27.8466599190283%,,,,,,,,,,
12,AL,Alabama,02,H6AL02159,,"Robert L. ""Bob""",Rogers,"Rogers, Robert L. ""Bob""",,R,6856,5.78272604588394%,,,,,,,,,,
13,AL,Alabama,02,n/a,,,,,Party Votes:,R,118560,,,,,,,,,,,
14,AL,Alabama,02,H6AL02167,,Nathan ,Mathis,"Mathis, Nathan ",,D,Unopposed,,,,112089,40.5262054204148%,,,,,,
15,AL,Alabama,02,n/a,,,Scattered,Scattered,,W,,,,,29609,10.705246868944%,,,,,,
16,AL,Alabama,02,n/a,,,,,District Votes:,,118560,,,,276584,,,,,,,
17,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
18,AL,Alabama,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,77432,75.9837497301435%,,,192164,66.931843513152%,,,,,W,
19,AL,Alabama,03,H6AL03157,,Larry,DiChiara,"DiChiara, Larry",,R,24474,24.0162502698565%,,,,,,,,,,
20,AL,Alabama,03,n/a,,,,,Party Votes:,R,101906,,,,,,,,,,,
21,AL,Alabama,03,H4AL03061,,Jesse,Smith,"Smith, Jesse",,D,Unopposed,,,,94549,32.9319689032546%,,,,,,
22,AL,Alabama,03,n/a,,,Scattered,Scattered,,W,,,,,391,0.136187583593402%,,,,,,
23,AL,Alabama,03,n/a,,,,,District Votes:,,101906,,,,287104,,,,,,,
24,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
25,AL,Alabama,04,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,86660,81.1757652965641%,,,235925,98.5303452999449%,,,,,W,
