1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (MS Senate),GE RUNOFF ELECTION % (MS Senate),"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",GE WINNER INDICATOR,FOOTNOTES
2,,,,n/a,,,,,,,,,,,,,,,,,,
3,AL,Alabama,01,H4AL01123,(I),Bradley,Byrne,"Byrne, Bradley",,R,Unopposed,,,,153228,63.1563328208658%,,,,,W,
4,AL,Alabama,01,H8AL01066,,"Robert, Jr.",Kennedy,"Kennedy, Robert, Jr.",,D,27651,80.7493502321643%,,,89226,36.776483098876%,,,,,,
5,AL,Alabama,01,H8AL01082,,Lizzetta Hill,McConnell,"McConnell, Lizzetta Hill",,D,6592,19.2506497678358%,,,,,,,,,,
6,AL,Alabama,01,n/a,,,,,Party Votes:,D,34243,,,,,,,,,,,
7,AL,Alabama,01,n/a,,,Scattered,Scattered,,W,,,,,163,0.0671840802581847%,,,,,,
8,AL,Alabama,01,n/a,,,,,District Votes:,,34243,,,,242617,,,,,,,
9,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
10,AL,Alabama,02,H0AL02087,(I),Martha,Roby,"Roby, Martha",,R,36708,38.9760142703942%,48331,67.9512414588196%,138879,61.3884100251956%,,,,,W,
11,AL,Alabama,02,H8AL02213 ,,Bobby,Bright,"Bright, Bobby",,R,26481,28.1171361527272%,22795,32.0487585411804%,,,,,,,,
12,AL,Alabama,02,H8AL02171,,Barry,Moore,"Moore, Barry",,R,18177,19.3000711396141%,,,,,,,,,,
13,AL,Alabama,02,H8AL02205,,Rich,Hobson,"Hobson, Rich",,R,7052,7.4877098353171%,,,,,,,,,,
14,AL,Alabama,02,H8AL02189,,Tommy,Amason,"Amason, Tommy",,R,5763,6.11906860194731%,,,,,,,,,,
15,AL,Alabama,02,n/a,,,,,Party Votes:,R,94181,,71126,,,,,,,,,
16,AL,Alabama,02,H8AL02197,,Tabitha,Isner,"Isner, Tabitha",,D,20351,60.4497118754827%,,,86931,38.4259382044822%,,,,,,
17,AL,Alabama,02,H8AL02163,,Audri Scott,Williams,"Williams, Audri Scott",,D,13315,39.5502881245173%,,,,,,,,,,
18,AL,Alabama,02,n/a,,,,,Party Votes:,D,33666,,,,,,,,,,,
19,AL,Alabama,02,n/a,,,Scattered,Scattered,,W,,,,,420,0.185651770322238%,,,,,,
20,AL,Alabama,02,n/a,,,,,District Votes:,,127847,,71126,,226230,,,,,,,
21,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
22,AL,Alabama,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,Unopposed,,,,147770,63.7173102214173%,,,,,W,
23,AL,Alabama,03,H8AL03054,,Mallory,Hagan,"Hagan, Mallory",,D,21410,65.7413946633095%,,,83996,36.2184421016321%,,,,,,
24,AL,Alabama,03,H8AL03062 ,,Adia McClellan,Winfrey,"Winfrey, Adia McClellan",,D,11157,34.2586053366905%,,,,,,,,,,
25,AL,Alabama,03,n/a,,,,,Party Votes:,D,32567,,,,,,,,,,,
26,AL,Alabama,03,n/a,,,Scattered,Scattered,,W,,,,,149,0.0642476769506069%,,,,,,
27,AL,Alabama,03,n/a,,,,,District Votes:,,32567,,,,231915,,,,,,,
28,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
29,AL,Alabama,04,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,93959,81.4732278343811%,,,184255,79.7747749698011%,,,,,W,
30,AL,Alabama,04,H8AL04102,,Anthony,Blackmon,"Blackmon, Anthony",,R,21366,18.5267721656189%,,,,,,,,,,
31,AL,Alabama,04,n/a,,,,,Party Votes:,R,115325,,,,,,,,,,,
32,AL,Alabama,04,H8AL04094,,Lee,Auman,"Auman, Lee",,D,8609,54.1242298503709%,,,46492,20.1291082353043%,,,,,,
33,AL,Alabama,04,H8AL04086,,Rick,Neighbors,"Neighbors, Rick",,D,7297,45.8757701496291%,,,,,,,,,,
34,AL,Alabama,04,n/a,,,,,Party Votes:,D,15906,,,,,,,,,,,
35,AL,Alabama,04,n/a,,,Scattered,Scattered,,W,,,,,222,0.0961167948945529%,,,,,,
36,AL,Alabama,04,n/a,,,,,District Votes:,,131231,,,,230969,,,,,,,
37,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
38,AL,Alabama,05,H0AL05163,(I),Mo,Brooks,"Brooks, Mo",,R,54928,61.2577648410229%,,,159063,61.0201286669506%,,,,,W,
39,AL,Alabama,05,H8AL05208 ,,Clayton,Hinchman,"Hinchman, Clayton",,R,34739,38.7422351589771%,,,,,,,, ,,
40,AL,Alabama,05,n/a,,,,,Party Votes:,R,89667,,,,,,,,,,,
41,AL,Alabama,05,H8AL05190,,Peter ,Joffrion,"Joffrion, Peter ",,D,Unopposed,,,,101388,38.8947071618465%,,,,,,
42,AL,Alabama,05,n/a,,,Scattered,Scattered,,W,,,,,222,0.0851641712030015%,,,,,,
43,AL,Alabama,05,n/a,,,,,District Votes:,,89667,,,,260673,,,,,,,
44,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
45,AL,Alabama,06,H4AL06098,(I),Gary,Palmer,"Palmer, Gary",,R,Unopposed,,,,192542,69.1780920352965%,,,,,W,
46,AL,Alabama,06,H8AL06099,,Danner,Kline,"Kline, Danner",,D,Unopposed,,,,85644,30.7708890230232%,,,,,,
47,AL,Alabama,06,n/a,,,Scattered,Scattered,,W,,,,,142,0.0510189416803196%,,,,,,
48,AL,Alabama,06,n/a,,,,,District Votes:,,,,,,278328,,,,,,,
49,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
50,AL,Alabama,07,H0AL07086,(I),Terri A.,Sewell,"Sewell, Terri A.",,D,Unopposed,,,,185010,97.8045389426051%,,,,,W,
51,AL,Alabama,07,n/a,,,Scattered,Scattered,,W,,,,,4153,2.19546105739495%,,,,,,
52,AL,Alabama,07,n/a,,,,,District Votes:,,,,,,189163,,,,,,,
53,AL,Alabama,H,n/a,,,,,,,,,,,,,,,,,,
54,AL,Alabama,H,n/a,,,,,Total State Votes:,,415555,,71126,,1659895,,,,,,,
55,,,,n/a,,,,,,,,,,,,,,,,,,
56,AK,Alaska,00,H6AK00045,(I),Don,Young,"Young, Don",,R,49667,70.8465872619642%,,,149779,53.0818737906055%,,,,,W,
57,AK,Alaska,00,H8AK01031,,"Thomas ""John""",Nelson,"Nelson, Thomas ""John""",,R,10913,15.5666500249626%,,,,,,,,,,
58,AK,Alaska,00,H8AK00157,,Jed,Whittaker,"Whittaker, Jed",,R,9525,13.5867627130732%,,,,,,,,,,
59,AK,Alaska,00,n/a,,,,,Party Votes:,R,70105,,,,,,,,,,,
60,AK,Alaska,00,H8AK00140,,Alyse S.,Galvin,"Galvin, Alyse S.",,D(UND),21742,53.616433626791%,,,131199,46.4970974532722%,,,,,,*  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.
61,AK,Alaska,00,H8AK00132,,Dimitri,Shein,"Shein, Dimitri",,D,9434,23.2645310843136%,,,,,,,,,,*  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.
62,AK,Alaska,00,H8AK01023,,Carol ,Hafner,"Hafner, Carol ",,D,6071,14.971270745481%,,,,,,,,,,*  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.
63,AK,Alaska,00,H8AK01049,,Christopher C.,Cummings,"Cummings, Christopher C.",,D(N),3304,8.14776454341447%,,,,,,,,,,*  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.
64,AK,Alaska,00,n/a,,,,,Party Votes:,D,40551,,,,,,,,,,,*  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.
65,AK,Alaska,00,n/a,,,Scattered,Scattered,,W,,,,,1188,0.421028756122283%,,,,,,
66,AK,Alaska,00,n/a,,,,,District Votes:,,110656,,,,282166,,,,,,,
67,AK,Alaska,H,n/a,,,,,,,,,,,,,,,,,,
68,AK,Alaska,H,n/a,,,,,Total State Votes:,,110656,,,,282166,,,,,,,
69,,,,n/a,,,,,,,,,,,,,,,,,,
70,AS,American Samoa,00,H4AS00036,(I),Aumua,Amata,"Amata, Aumua",,R,,,,,7194,83.2831673998611%,,,,,W,
71,AS,American Samoa,00,H2AS00030,,Tuika,Tuika,"Tuika, Tuika",,IND,,,,,807,9.34244037971753%,,,,,,
72,AS,American Samoa,00,H4AS00093,,Meleagi,Suitonu-Chapman,"Suitonu-Chapman, Meleagi",,D,,,,,637,7.37439222042139%,,,,,,
73,AS,American Samoa,00,n/a,,,,,District Votes:,,,,,,8638,,,,,,,
74,AS,American Samoa,H,n/a,,,,,,,,,,,,,,,,,,
75,AS,American Samoa,H,n/a,,,,,Total Votes:,,,,,,8638,,,,,,,
76,,,,n/a,,,,,,,,,,,,,,,,,,
77,AZ,Arizona,01,H6AZ01199,(I),Tom,O'Halleran,"O'Halleran, Tom",,D,64114,100%,,,143240,53.8316127310787%,,,,,W,
78,AZ,Arizona,01,n/a,,,,,Party Votes:,D,64114,,,,,,,,,,,
79,AZ,Arizona,01,H2AZ09035,,Wendy,Rogers,"Rogers, Wendy",,R,30180,43.7442022263451%,,,122784,46.1439593519462%,,,,,,
80,AZ,Arizona,01,H8AZ01229,,Steve,Smith,"Smith, Steve",,R,25552,37.0361781076067%,,,,,,,,,,
81,AZ,Arizona,01,H8AZ01237,,Tiffany ,Shedd,"Shedd, Tiffany ",,R,13260,19.2196196660482%,,,,,,,,,,
82,AZ,Arizona,01,n/a,,,,,Party Votes:,R,68992,,,,,,,,,,,
83,AZ,Arizona,01,H8AZ01252,,David,Shock,"Shock, David",,W,,,,,65,0.0244279169751474%,,,,,,
84,AZ,Arizona,01,n/a,,Zhani,Doko,"Doko, Zhani",,W(LIB),202,100%,,,,,,,,,,
85,AZ,Arizona,01,n/a,,,,,Party Votes:,LIB,202,,,,,,,,,,,
86,AZ,Arizona,01,n/a,,,,,District Votes:,,133308,,,,266089,,,,,,,
87,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
88,AZ,Arizona,02,H8AZ02185,,Lea Marquez,Peterson,"Peterson, Lea Marquez",,R,23571,34.1539397803344%,,,133083,45.242935625119%,,,,,,
89,AZ,Arizona,02,H8AZ02201,,Brandon,Martin,"Martin, Brandon",,R,19809,28.7028718810676%,,,,,,,,,,
