1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, GU, LA)","GE RUNOFF ELECTION % (GA, GU, LA)","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES
2,,,,,,,,,,,,,,,,,,,,,,,
3,AL,Alabama,01,H0AL01055,,Jerry,Carl,"Carl, Jerry",,R,38490,38.6954729614252%,44421,52.2766055099855%,211825,64.3698245080909%,,,,,W,W,
4,AL,Alabama,01,H0AL01089,,Bill,Hightower,"Hightower, Bill",,R,37283,37.4820295770542%,40552,47.7233944900145%,,,,,,,,,
5,AL,Alabama,01,H0AL01071,,Chris,Pringle,"Pringle, Chris",,R,19126,19.2281012174647%,,,,,,,,,,,
6,AL,Alabama,01,H0AL01063,,Wes,Lambert,"Lambert, Wes",,R,3102,3.11855955121696%,,,,,,,,,,,
7,AL,Alabama,01,H0AL01121,,John,Castorani,"Castorani, John",,R,1468,1.47583669283897%,,,,,,,,,,,
8,AL,Alabama,01,n/a,,,,,Party Votes:,R,99469,,84973,,,,,,,,,,
9,AL,Alabama,01,H0AL01097,,James,Averhart,"Averhart, James",,D,21022,40.347004970923%,15840,56.6888554863646%,116949,35.5387069816911%,,,,,W,,
10,AL,Alabama,01,H0AL01105,,Kiani A.,Gardner,"Gardner, Kiani A.",,D,22962,44.0703990173311%,12102,43.3111445136354%,,,,,,,,,
11,AL,Alabama,01,H0AL01139,,Rick,Collins,"Collins, Rick",,D,8119,15.582596011746%,,,,,,,,,,,
12,AL,Alabama,01,n/a,,,,,Party Votes:,D,52103,,27942,,,,,,,,,,
13,AL,Alabama,01,n/a,,,Scattered,Scattered,,W,,,,,301,0.0914685102180354%,,,,,,,
14,AL,Alabama,01,n/a,,,,,District Votes:,,151572,,112915,,329075,,,,,,,,
15,AL,Alabama,02,H8AL02171,,Barry,Moore,"Moore, Barry",,R,21392,20.4526115514423%,52248,60.4491340113151%,197996,65.2227335465743%,,,,,W,W,
16,AL,Alabama,02,H0AL02145,,Jeff,Coleman,"Coleman, Jeff",,R,39804,38.0560840591627%,34185,39.5508659886849%,,,,,,,,,
17,AL,Alabama,02,H0AL02178,,Jessica,Taylor,"Taylor, Jessica",,R,20789,19.8760911342059%,,,,,,,,,,,
18,AL,Alabama,02,H0AL02152,,Troy,King,"King, Troy",,R,15171,14.504794775941%,,,,,,,,,,,
19,AL,Alabama,02,H0AL02194,,Terri A.,Hasdorff,"Hasdorff, Terri A.",,R,5216,4.98694941344067%,,,,,,,,,,,
20,AL,Alabama,02,H0AL02160,,"Thomas W., Jr.",Brown,"Brown, Thomas W., Jr.",,R,1395,1.3337412637557%,,,,,,,,,,,
21,AL,Alabama,02,H6AL02159,,Bob,Rogers,"Rogers, Bob",,R,826,0.789727802051763%,,,,,,,,,,,
22,AL,Alabama,02,n/a,,,,,Party Votes:,R,104593,,86433,,,,,,,,,,
23,AL,Alabama,02,H0AL02202,,Phyllis,Harvey-Hall,"Harvey-Hall, Phyllis",,D,27399,59.1809404497052%,,,105286,34.6827245206197%,,,,,W,,
24,AL,Alabama,02,H6AL02167,,Nathan,Mathis,"Mathis, Nathan",,D,18898,40.8190595502948%,,,,,,,,,,,
25,AL,Alabama,02,n/a,,,,,Party Votes:,D,46297,,,,,,,,,,,,
26,AL,Alabama,02,n/a,,,Scattered,Scattered,,W,,,,,287,0.0945419328060507%,,,,,,,
27,AL,Alabama,02,n/a,,,,,District Votes:,,150890,,86433,,303569,,,,,,,,
28,AL,Alabama,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,Unopposed,,,,217384,67.4615341646133%,,,,,W,W,
29,AL,Alabama,03,H8AL03062,,Adia,Winfrey,"Winfrey, Adia",,D,Unopposed,,,,104595,32.4593307968743%,,,,,W,,
30,AL,Alabama,03,n/a,,,Scattered,Scattered,,W,,,,,255,0.0791350385123854%,,,,,,,
31,AL,Alabama,03,n/a,,,,,District Votes:,,,,,,322234,,,,,,,,
32,AL,Alabama,04,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,Unopposed,,,,261553,82.2418710243406%,,,,,W,W,
33,AL,Alabama,04,H8AL04086,,Rick,Neighbors,"Neighbors, Rick",,D,Unopposed,,,,56237,17.6829785962915%,,,,,W,,
34,AL,Alabama,04,n/a,,,Scattered,Scattered,,W,,,,,239,0.0751503793679193%,,,,,,,
35,AL,Alabama,04,n/a,,,,,District Votes:,,,,,,318029,,,,,,,,
36,AL,Alabama,05,H0AL05163,(I),Mo,Brooks,"Brooks, Mo",,R,84013,74.8812335665582%,,,253094,95.8108721986675%,,,,,W,W,
37,AL,Alabama,05,H0AL05205,,Chris,Lewis,"Lewis, Chris",,R,28182,25.1187664334418%,,,,,,,,,,,
38,AL,Alabama,05,n/a,,,,,Party Votes:,R,112195,,,,,,,,,,,,
39,AL,Alabama,05,n/a,,,Scattered,Scattered,,W,,,,,11066,4.18912780133253%,,,,,,,
40,AL,Alabama,05,n/a,,,,,District Votes:,,112195,,,,264160,,,,,,,,
41,AL,Alabama,06,H4AL06098,(I),Gary,Palmer,"Palmer, Gary",,R,Unopposed,,,,274160,97.1299612769742%,,,,,W,W,
42,AL,Alabama,06,n/a,,,Scattered,Scattered,,W,,,,,8101,2.87003872302585%,,,,,,,
43,AL,Alabama,06,n/a,,,,,District Votes:,,,,,,282261,,,,,,,,
44,AL,Alabama,07,H0AL07086,(I),Terri A.,Sewell,"Sewell, Terri A.",,D,Unopposed,,,,225742,97.1639600397708%,,,,,W,W,
45,AL,Alabama,07,n/a,,,Scattered,Scattered,,W,,,,,6589,2.83603996022916%,,,,,,,
46,AL,Alabama,07,n/a,,,,,District Votes:,,,,,,232331,,,,,,,,
47,AL,Alabama,H,n/a,,,,,Total State Votes:,,414657,,199348,,2051659,,,,,,,,
48,,,,n/a,,,,,,,,,,,,,,,,,,,
49,AK,Alaska,00,H6AK00045,(I),Don,Young,"Young, Don",,R,51972,76.1271422293833%,,,192126,54.4012005719706%,,,,,W,W,
50,AK,Alaska,00,H8AK01031 ,,"T. ""John""",Nelson,"Nelson, T. ""John""",,R,12344,18.0811483814267%,,,,,,,,,,,
51,AK,Alaska,00,H6AK00268,,"Gerald L. ""Jer""",Heikes,"Heikes, Gerald L. ""Jer""",,R,3954,5.79170938918998%,,,,,,,,,,,
52,AK,Alaska,00,n/a,,,,,Party Votes:,R,68270,,,,,,,,,,,,
53,AK,Alaska,00,H8AK00140,,Alyse S.,Galvin,"Galvin, Alyse S.",,N(D)/D,53258,85.8349315841217%,,,159856,45.2638285220789%,,,,,W,,*  N(D) = Nonpartisan (Democratic Primary).  The Alaska Democratic Party allows candidates who are registered as Undeclared or Nonpartisan to run as candidates in its primary.
54,AK,Alaska,00,H0AK00113,,Ray Sean,Tugatuk,"Tugatuk, Ray Sean",,D,4858,7.82954856802102%,,,,,,,,,,,
55,AK,Alaska,00,H6AK00243,,"William ""Bill""",Hibler,"Hibler, William ""Bill""",,D,3931,6.33551984785727%,,,,,,,,,,,
56,AK,Alaska,00,n/a,,,,,Party Votes:,D,62047,,,,,,,,,,,,
57,AK,Alaska,00,n/a,,,Scattered,Scattered,,W,,,,,1183,0.334970905950476%,,,,,,,
58,AK,Alaska,00,n/a,,,,,District Votes:,,130317,,,,353165,,,,,,,,
59,AK,Alaska,H,n/a,,,,,Total State Votes:,,130317,,,,353165,,,,,,,,
60,,,,n/a,,,,,,,,,,,,,,,,,,,
61,AS,American Samoa,00,H4AS00036,(I),Aumua,Amata,"Amata, Aumua",,R,,,,,9790,83.326240531109%,,,,,,W,
62,AS,American Samoa,00,H0AS01016,,Oreta Tufaga Mapu,Crichton,"Crichton, Oreta Tufaga Mapu",,D,,,,,1709,14.5459188016001%,,,,,,,
63,AS,American Samoa,00,H4AS00093,,Meleagi ,Suitonu-Chapman,"Suitonu-Chapman, Meleagi ",,D,,,,,250,2.12784066729083%,,,,,,,
64,AS,American Samoa,00,n/a,,,,,District Votes:,,,,,,11749,,,,,,,,
65,AS,American Samoa,H,n/a,,,,,Total State Votes:,,,,,,11749,,,,,,,,
66,,,,n/a,,,,,,,,,,,,,,,,,,,
67,AZ,Arizona,01,H6AZ01199,(I),Tom,O'Halleran,"O'Halleran, Tom",,D,47083,58.6112459698%,,,188469,51.6101736687314%,,,,,W,W,
68,AZ,Arizona,01,H0AZ01358,,Eva,Putzova,"Putzova, Eva",,D,33248,41.3887540302001%,,,,,,,,,,,
69,AZ,Arizona,01,n/a,,,,,Party Votes:,D,80331,,,,,,,,,,,,
70,AZ,Arizona,01,H8AZ01237,,Tiffany,Shedd,"Shedd, Tiffany",,R,40310,54.6739366319444%,,,176709,48.3898263312686%,,,,,W,,
71,AZ,Arizona,01,H0AZ01408,,Nolan,Reidhead,"Reidhead, Nolan",,R,33418,45.3260633680556%,,,,,,,,,,,
72,AZ,Arizona,01,n/a,,,,,Party Votes:,R,73728,,,,,,,,,,,,
73,AZ,Arizona,01,n/a,,,,,District Votes:,,154059,,,,365178,,,,,,,,
74,AZ,Arizona,02,H8AZ01104,(I),Ann,Kirkpatrick,"Kirkpatrick, Ann",,D,77517,76.3323223570191%,,,209945,55.0958656778304%,,,,,W,W,
75,AZ,Arizona,02,H0AZ02281,,Peter,Quilter,"Quilter, Peter",,D,24035,23.6676776429809%,,,,,,,,,,,
76,AZ,Arizona,02,n/a,,,,,Party Votes:,D,101552,,,,,,,,,,,,
77,AZ,Arizona,02,H0AZ02190,,Brandon,Martin,"Martin, Brandon",,R,31730,42.5147052912251%,,,170975,44.8689687025986%,,,,,W,,
78,AZ,Arizona,02,H0AZ02265,,Noran Eric,Ruden,"Ruden, Noran Eric",,R,25049,33.5629011295272%,,,,,,,,,,,
79,AZ,Arizona,02,H0AZ02182,,Joseph,Morgan,"Morgan, Joseph",,R,17802,23.852719306473%,,,,,,,,,,,
80,AZ,Arizona,02,H8AZ02250,,Jordan,Flayer,"Flayer, Jordan",,W(R),52,0.0696742727747779%,,,,,,,,,,,
81,AZ,Arizona,02,n/a,,,,,Party Votes:,R,74633,,,,,,,,,,,,
82,AZ,Arizona,02,H0AZ02216,,Iman,Bah,"Bah, Iman",,W,,,,,99,0.0259805696830371%,,,,,,,
83,AZ,Arizona,02,H0AZ02307,,Brandon,Schlass,"Schlass, Brandon",,W,,,,,35,0.00918504988794239%,,,,,,,
84,AZ,Arizona,02,n/a,,,,,District Votes:,,176185,,,,381054,,,,,,,,
85,AZ,Arizona,03,H2AZ07070,(I),R ul,Grijalva,"Grijalva, R ul",,D,63290,100%,,,174243,64.5734276618848%,,,,,W,W,
86,AZ,Arizona,03,n/a,,,,,Party Votes:,D,63290,,,,,,,,,,,,
87,AZ,Arizona,03,H0AZ03461,,Daniel,Wood,"Wood, Daniel",,R,29272,99.8499113112294%,,,95594,35.4265723381152%,,,,,W,,
88,AZ,Arizona,03,H0AZ03461,,Daniel,Wood,"Wood, Daniel",,R,,,,,,,,,,,,,
89,AZ,Arizona,03,H0AZ03479,,Richard,Jolley,"Jolley, Richard",,W(R),44,0.150088688770637%,,,,,,,,,,,
90,AZ,Arizona,03,n/a,,,,,Party Votes:,R,29316,,,,,,,,,,,,
91,AZ,Arizona,03,n/a,,,,,District Votes:,,92606,,,,269837,,,,,,,,
92,AZ,Arizona,04,H0AZ01259,(I),Paul,Gosar,"Gosar, Paul",,R,82376,63.1262740049351%,,,278002,69.7405819533745%,,,,,W,W,
93,AZ,Arizona,04,H0AZ04535,,Anne Marie,Ward,"Ward, Anne Marie",,R,48118,36.8737259950649%,,,,,,,,,,,
