1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) INCUMBENT INDICATOR,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (when applicable),GE RUNOFF ELECTION % (when applicable),COMBINED GE PARTY TOTALS (when applicable),COMBINED GE PARTY % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,1ST ROUND RCV VOTES,1ST ROUND RCV %,2ND ROUND RCV VOTES,2ND ROUND RCV %,3RD ROUND RCV VOTES,3RD ROUND RCV %
2,AL,Alabama,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,,,,,,,,
3,AL,Alabama,01,H0AL01055,(I),Jerry,Carl,"Carl, Jerry",,R,Unopposed,,,,140592,83.6110615521856%,,,,,W,W,,,,,,,
4,AL,Alabama,01,H2AL01218,,Alexander M.,Remrey,"Remrey, Alexander M.",,LIB,,,,,26369,15.6818316978888%,,,,,,,,,,,,,
5,AL,Alabama,01,n/a,,,Scattered,Scattered ,,W,,,,,1189,0.707106749925662%,,,,,,,,,,,,,
6,AL,Alabama,01,n/a,,,,,District Votes:,,,,,,168150,,,,,,,,,,,,,,
7,AL,Alabama,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,,,,,,,,
8,AL,Alabama,02,H8AL02171,(I),Barry,Moore,"Moore, Barry",,R,Unopposed,,,,137460,69.0889169234172%,,,,,W,W,,,,,,,
9,AL,Alabama,02,H0AL02202,,Phyllis,Harvey-Hall,"Harvey-Hall, Phyllis",,D,16884,68.7711294855607%,,,58014,29.1584782947412%,,,,,W,,,,,,,,
10,AL,Alabama,02,H2AL02166,,Vimal,Patel,"Patel, Vimal",,D,7667,31.2288705144393%,,,,,,,,,,,,,,,,,
11,AL,Alabama,02,n/a,,,,,Party Votes:,D,24551,,,,,,,,,,,,,,,,,,
12,AL,Alabama,02,H2AL02208,,Jonathan,Realz,"Realz, Jonathan",,LIB,,,,,3396,1.70686717497399%,,,,,,,,,,,,,
13,AL,Alabama,02,n/a,,,Scattered,Scattered ,,W,,,,,91,0.0457376068676776%,,,,,,,,,,,,,
14,AL,Alabama,02,n/a,,,,,District Votes:,,24551,,,,198961,,,,,,,,,,,,,,
15,AL,Alabama,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,,,,,,,,
16,AL,Alabama,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,70843,81.936364372376%,,,135602,71.2172935726815%,,,,,W,W,,,,,,,
17,AL,Alabama,03,H2AL03123,,Michael T. ,Joiner,"Joiner, Michael T. ",,R,15618,18.063635627624%,,,,,,,,,,,,,,,,,
18,AL,Alabama,03,n/a,,,,,Party Votes:,R,86461,,,,,,,,,,,,,,,,,,
19,AL,Alabama,03,H2AL03131,,Lin,Veasey,"Veasey, Lin",,D,Unopposed,,,,47859,25.1352373349579%,,,,,W,,,,,,,,
20,AL,Alabama,03,H2AL03107,,Douglas A.,Bell,"Bell, Douglas A.",,IND,,,,,3831,2.01201642805374%,,,,,,,,,,,,,
21,AL,Alabama,03,H4AL03053,,Thomas SickofDC,Casson,"Casson, Thomas SickofDC",,LIB ,,,,,3034,1.59343718160142%,,,,,,,,,,,,,
22,AL,Alabama,03,n/a,,,Scattered,Scattered ,,W,,,,,80,0.0420154827053769%,,,,,,,,,,,,,
23,AL,Alabama,03,n/a,,,,,District Votes:,,86461,,,,190406,,,,,,,,,,,,,,
24,AL,Alabama,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,,,,,,,,
25,AL,Alabama,04,H6AL04098,(I),Robert ,Alderholt,"Alderholt, Robert ",,R,Unopposed,,,,164655,84.1222481645916%,,,,,W,W,,,,,,,
26,AL,Alabama,04,H8AL04086,,Rick,Neighbors,"Neighbors, Rick",,D,4500,54.0670431334855%,,,26694,13.6379660047105%,,,,,W,,,,,,,,
27,AL,Alabama,04,H2AL04097,,Rhonda,Gore,"Gore, Rhonda",,D,3823,45.9329568665145%,,,,,,,,,,,,,,,,,
28,AL,Alabama,04,n/a,,,,,Party Votes:,D,8323,,,,,,,,,,,,,,,,,,
29,AL,Alabama,04,H2AL04105,,Johnny C.,Cochran,"Cochran, Johnny C.",,LIB,,,,,4303,2.1984029264355%,,,,,,,,,,,,,
30,AL,Alabama,04,n/a,,,Scattered,Scattered,,W,,,,,81,0.0413829042624391%,,,,,,,,,,,,,
31,AL,Alabama,04,n/a,,,,,District Votes:,,8323,,,,195733,,,,,,,,,,,,,,
32,AL,Alabama,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,,,,,,,,
33,AL,Alabama,05,H2AL05102,,Dale,Strong,"Strong, Dale",,R,45319,44.7250513184904%,48138,63.3961965969552%,142435,67.086008185873%,,,,,W,W,,,,,,,
34,AL,Alabama,05,H2AL05128,,Casey,Wardynski,"Wardynski, Casey",,R,23340,23.0341070582662%,27794,36.6038034030448%,,,,,,,,,,,,,,,
35,AL,Alabama,05,H2AL05169,,John,Roberts,"Roberts, John",,R,13979,13.7957918837834%,,,,,,,,,,,,,,,,,
36,AL,Alabama,05,H2AL05219,,Paul,Sanford,"Sanford, Paul",,R,11573,11.4213248065688%,,,,,,,,,,,,,,,,,
37,AL,Alabama,05,H2AL05110,,Andy,Blalock,"Blalock, Andy",,R,5608,5.53450181588505%,,,,,,,,,,,,,,,,,
38,AL,Alabama,05,H2AL05136,,Harrison,Wright,"Wright, Harrison",,R,1509,1.48922311700616%,,,,,,,,,,,,,,,,,
39,AL,Alabama,05,n/a,,,,,Party Votes:,R,101328,,75932,,,,,,,,,,,,,,,,
40,AL,Alabama,05,H2AL05177,,Kathy,Warner-Stanton,"Warner-Stanton, Kathy",,D,9010,57.2099815861325%,,,62740,29.5501537794901%,,,,,W,,,,,,,,
41,AL,Alabama,05,H2AL05144,,Charlie,Thompson,"Thompson, Charlie",,D,6739,42.7900184138676%,,,,,,,,,,,,,,,,,
42,AL,Alabama,05,n/a,,,,,Party Votes:,D,15749,,,,,,,,,,,,,,,,,,
43,AL,Alabama,05,H2AL05227,,P.J ,Greer,"Greer, P.J ",,LIB,,,,,6773,3.19004130616013%,,,,,,,,,,,,,
44,AL,Alabama,05,n/a,,,Scattered,Scattered,,W,,,,,369,0.173796728476759%,,,,,,,,,,,,,
45,AL,Alabama,05,n/a,,,,,District Votes:,,117077,,75932,,212317,,,,,,,,,,,,,,
46,AL,Alabama,,n/a,,,,DISTRICT 6,,,,,,,,,,,,,,,,,,,,,
47,AL,Alabama,06,H4AL06098,(I),Gary,Palmer,"Palmer, Gary",,R,Unopposed,,,,154233,83.7299066790443%,,,,,W,W,,,,,,,
48,AL,Alabama,06,H2AL06183,,Andria ,Chieffo,"Chieffo, Andria ",,LIB,,,,,27833,15.1099602069456%,,,,,,,,,,,,,
49,AL,Alabama,06,n/a,,,Scattered,Scattered,,W,,,,,2137,1.16013311401009%,,,,,,,,,,,,,
50,AL,Alabama,06,n/a,,,,,District Votes:,,,,,,184203,,,,,,,,,,,,,,
51,AL,Alabama,,n/a,,,,DISTRICT 7,,,,,,,,,,,,,,,,,,,,,
52,AL,Alabama,07,H0AL07086,(I),Terrycina,Sewell,"Sewell, Terrycina",,D,Unopposed,,,,123233,63.5418170568217%,,,,,W,W,,,,,,,
53,AL,Alabama,07,H2AL07173,,Beatrice,Nichols,"Nichols, Beatrice",,R,Unopposed,,,,67416,34.7612663710426%,,,,,W,,,,,,,,
54,AL,Alabama,07,H2AL07181,,Gavin,Goodman,"Goodman, Gavin",,LIB,,,,,3212,1.65618232443024%,,,,,,,,,,,,,
55,AL,Alabama,07,n/a,,,Scattered,Scattered,,W,,,,,79,0.0407342477054759%,,,,,,,,,,,,,
56,AL,Alabama,07,n/a,,,,,District Votes:,,,,,,193940,,,,,,,,,,,,,,
57,AL,Alabama,H,n/a,,,,,Total State Votes:,,236412,,75932,,1343710,,,,,,,,,,,,,,
58,AK,Alaska,,n/a,,,,AT LARGE DISTRICT,,,,,,,,,,,,,,,,,,,,,
59,AK,Alaska,00,H2AK01158,(I)*,Mary S. ,Peltola,"Peltola, Mary S. ",,D,70295,36.8007748082611%,,,128553,48.7663593945601%,,,,,W,W,"* Mary Peltola was elected as Alaska's U.S. Representative in a special general election on August 16, 2022. Top 4 Primary System; Ranked Choice Voting for General Election. Votes shown in General Column are the official 1st Choice General Vote Summary Results. Ranked Choice Voting rounds are in columns Y through AD.",128755,48.6622648711776%,129786,49.2202788185859%,137263,54.9636813569638%
60,AK,Alaska,00,H2AK00226,,Sarah,Palin,"Palin, Sarah",,R,57693,30.203387168547%,,,67866,25.7448503471037%,,,,,W,,Top 4 Primary System; Ranked Choice Voting for General Election. Votes shown in General Column are the official 1st Choice General Vote Summary Results. Ranked Choice Voting rounds are in columns Y through AD.,68330,25.8249587095457%,69399,26.3190030491042%,112471,45.0363186430362%
