,Variable,N,Mean,SD,Median,Q1,Q3,Min,Max
0,General vote share,8129.0,0.491,0.211,0.505,0.356,0.642,0.000,0.999
1,Total receipts (USD),8129.0,"$1,295,907","$1,825,149","$923,140","$138,925","$1,717,516","$5,000","$38,160,642"
2,Total disbursements (USD),8129.0,"$1,229,883","$1,734,361","$824,502","$133,963","$1,618,680","$-1,632","$33,728,421"
3,Cash on hand (USD),8129.0,"$269,590","$676,106","$29,796","$1,560","$264,512","$-71,198","$21,022,960"
4,ln(1 + total receipts),8129.0,13.084,1.794,13.736,11.842,14.356,8.517,17.457
5,Burn rate,8129.0,0.952,0.160,0.986,0.908,1.000,0.417,1.505
6,Cash ratio,8129.0,0.191,0.313,0.042,0.006,0.247,-0.058,1.610
7,Individual contribution share,8129.0,0.587,0.242,0.586,0.414,0.785,0.013,1.000
8,Other committee contribution share,8129.0,0.264,0.234,0.219,0.034,0.459,0.000,0.792
9,Party contribution share,8129.0,0.008,0.027,0.000,0.000,0.003,0.000,0.186
